name,id,email,role,manager,nickname,favorite_pet
Michael Rodriguez,EMP1094,michael.rodriguez@gmail.com,Customer Support,true,Savant,Lizard
Charles Rodriguez,EMP8684,charles.rodriguez@outlook.com,Sales Associate,false,Wizard,Cat
Sarah Martinez,EMP7382,sarah.martinez@yahoo.com,Product Manager,false,Whiz Kid,Rabbit
Mary Brown,EMP6427,mary.brown@yahoo.com,HR Coordinator,false,Whiz Kid,Cat
Susan Martin,EMP6333,susan.martin@gmail.com,Sales Associate,false,Virtuoso,Lizard
Sarah Smith,EMP8275,sarah.smith@hotmail.com,Software Engineer,false,Virtuoso,Rabbit
Robert Johnson,EMP7483,robert.johnson@gmail.com,Designer,false,Guru,Guinea Pig
John Anderson,EMP9660,john.anderson@outlook.com,Designer,true,Prodigy,Fish
Linda Jackson,EMP9418,linda.jackson@outlook.com,Marketing Specialist,false,Ace,Snake
Barbara Moore,EMP8741,barbara.moore@gmail.com,Sales Associate,false,Virtuoso,Fish
Sarah Rodriguez,EMP3465,sarah.rodriguez@outlook.com,Sales Associate,false,Savant,Lizard
James Martinez,EMP8996,james.martinez@hotmail.com,Product Manager,false,Prodigy,Snake
Patricia Johnson,EMP2167,patricia.johnson@gmail.com,Designer,false,Maverick,Cat
Sarah Miller,EMP7715,sarah.miller@hotmail.com,Software Engineer,false,Wizard,Dog
Thomas Gonzalez,EMP2414,thomas.gonzalez@hotmail.com,Data Analyst,false,Ace,Cat
Joseph Martin,EMP9653,joseph.martin@hotmail.com,Product Manager,false,Whiz Kid,Dog
Karen Brown,EMP6367,karen.brown@hotmail.com,Sales Associate,true,Whiz Kid,Cat
Barbara Hernandez,EMP4503,barbara.hernandez@gmail.com,Customer Support,false,Wizard,Parrot
Karen Martin,EMP1181,karen.martin@yahoo.com,Customer Support,false,Guru,Guinea Pig
Linda Smith,EMP5829,linda.smith@yahoo.com,Designer,true,Ace,Hamster
Charles Thomas,EMP2630,charles.thomas@outlook.com,Marketing Specialist,false,Guru,Hamster
Charles Davis,EMP4734,charles.davis@gmail.com,HR Coordinator,false,Maestro,Snake
Joseph Garcia,EMP8361,joseph.garcia@gmail.com,Sales Associate,false,Maverick,Lizard
Thomas Taylor,EMP4758,thomas.taylor@outlook.com,Data Analyst,false,Virtuoso,Lizard
Robert Miller,EMP9289,robert.miller@yahoo.com,Software Engineer,true,Whiz Kid,Snake
James Brown,EMP8421,james.brown@gmail.com,Designer,false,Guru,Hamster
Robert Rodriguez,EMP8397,robert.rodriguez@gmail.com,Software Engineer,false,Ace,Rabbit
Susan Smith,EMP1343,susan.smith@hotmail.com,Software Engineer,true,Maestro,Hamster
William Wilson,EMP8766,william.wilson@yahoo.com,HR Coordinator,true,Guru,Hamster
Joseph Garcia,EMP7083,joseph.garcia@hotmail.com,Product Manager,false,Ninja,Fish
Barbara Rodriguez,EMP2502,barbara.rodriguez@outlook.com,Sales Associate,false,Prodigy,Parrot
Jessica Rodriguez,EMP5945,jessica.rodriguez@hotmail.com,Marketing Specialist,false,Maverick,Cat
Elizabeth Jones,EMP9035,elizabeth.jones@outlook.com,Product Manager,true,Virtuoso,Lizard
Mary Anderson,EMP6637,mary.anderson@hotmail.com,HR Coordinator,false,Guru,Snake
Elizabeth Martinez,EMP6214,elizabeth.martinez@hotmail.com,Data Analyst,false,Prodigy,Parrot
Jennifer Lopez,EMP7609,jennifer.lopez@gmail.com,HR Coordinator,true,Wizard,Turtle
Jennifer Jackson,EMP7074,jennifer.jackson@yahoo.com,Software Engineer,false,Wizard,Snake
James Moore,EMP9351,james.moore@yahoo.com,Software Engineer,false,Ace,Guinea Pig
Barbara Martin,EMP7368,barbara.martin@gmail.com,Sales Associate,false,Ace,Turtle
David Davis,EMP3829,david.davis@outlook.com,Sales Associate,true,Maestro,Cat
